微博id,发布者,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
I2u2N3aQG,人民微博,"人民微博:【#法籍蜘蛛侠现身中环# 港媒：在商厦外墙挂中国国旗和香港特别行政区区旗】据香港东网16日报道，一名身手敏捷的法国籍""蜘蛛侠""，今早(16日)8时14分，被发现到位于香港中环的长江集团中心沿外墙攀爬，并且在低层位置挂上一条印有中国国旗及香港特别行政区区旗图案的旗帜，旗帜下方有两只手互握的图案。警方及消防到场后，在地面放置救生气垫，而法籍男子则沿外墙爬上顶楼，最后由警员带走调查。现场有消息称，该名法籍汉疑为绰号""蜘蛛侠""的法国攀爬专家罗伯特(Alain Robert)。@环视频 http://t.cn/AiHl9Lee ",无,无,2019-08-16 14:30 ,微博 weibo.com,29,2,7
I2u2N3aop,解放日报,解放日报:【李嘉诚“一个香港市民”的声明，为何有两个版本？】今早，香港多家媒体刊登署名为“一个香港市民 李嘉诚”的广告声明。该声明以反对暴力为主题，是香港6月9日发生“修例风波”以来，李嘉诚首度公开表态。至于为何刊登两个不同版本的广告，李嘉诚回应称，基于目前香港形势复杂，难以用单一语言或沟通方法回应，“应以何身得度者，即现何身而为之说法”。现时年轻人给政府的声音和讯息已“震耳欲聋”。http://t.cn/AiHj7b60 [组图共2张] 原图 ,无,无,2019-08-16 14:30 ,微博 weibo.com,10,14,0
I2u2N3amY,江南都市报,江南都市报:【#驻英大使记者会播香港局势短片#：看看西方媒体看不到的画面】8月15日，中国驻英国大使刘晓明在大使馆召开的一场中外记者会上，播放了一段香港局势的视频。他说：“我们制作了一个短片，让大家看一看在西方媒体看不到的画面，听一听在西方媒体听不到的声音。”刘晓明在会上严正声明:“香港是中国的香港，香港事务绝不容外国插手”，同时反问英国媒体“英国会允许极端激进分子冲击议会、破坏议会设施而逍遥法外吗？英国会允许用致命武器袭击警察、烧毁警署而不受惩罚吗？英国会允许暴徒打着所谓民主的幌子占领机场、堵塞交通、破坏社会秩序、威胁民众生命财产安全吗？”（环球时报 中国日报）http://t.cn/AiHNb5j7 ,无,无,2019-08-16 14:30 ,微博 weibo.com,17,3,1
I2u2L1VNK,昆明微博头条,昆明微博头条:【#我们都有一个爱豆名字叫阿中#“出征开撕”香港示威者的，竟是她们！】近日，包括多位爱国爱港艺人纷纷对香港示威者的暴行进行谴责，却因此被部分香港暴徒在网络上骚扰、辱骂和威胁。不同明星的粉丝于是逐渐凝聚成一体并开始有了一个共同的“应援”新对象——那就是被ta们称为“阿中”和“70岁仔仔”的中国！“饭圈女孩们”统一战线，联合出征，向发表“港独”言论的人“开战”，“战场”从微博逐渐向海外各社交圈扩大！http://t.cn/AiHjPFy1 ,无,无,2019-08-16 14:29 ,搜狗高速浏览器,35,1,2
I2u2GePdp,赣州发布,赣州发布:【#驻港公署批驳美媒世界警察#：无知！偏见！傲慢！】8月15日，《华尔街日报》发表社论《特朗普的香港风险》，说中国“入侵”香港荒谬之极，还拿《中英联合声明》说事，这不是无知是什么！该文把香港特区政府诬称为煽动者，把香港警队依法执法、维护法治说成野蛮暴力，把暴徒暴行美化为“和平示威”和“合理忧虑”，这不是偏见是什么！该文以世界警察自居，不仅向美政府决策者喊话支招，更猖狂要美总统以简单粗暴方式插手香港事务，这不是傲慢是什么！（人民日报） http://t.cn/R2WxjYe 显示地图 原图 ,无,http://t.cn/R2WxjYe,2019-08-16 14:29 ,小米9 SE,5,0,0
I2u2FEdgR,沙众寄语,沙众寄语:【挑衅！悉尼大学韩裔老师称香港是“国家”中国留学生集体抗议！特想问一句，你上过学吗？】#中国留学生抗议称香港为国家#据海外网8月16日报道，悉尼大学一位韩裔副教授上课期间，将香港、台湾列为“国家”。此举引发中国留学生不满。当地时间15日下午，韩裔副教授Ki Sung Kwak播放课件，让在场学生沉默。该页幻灯片以“东亚国家概况”为标题，课件中，香港、台湾出现在“国家”列表中。报道称，共有上百人选修这门课程，多数都是中国大陆的学生。副教授的言行引发悉尼大学学生讨论，并激起不满情绪。@头条新闻 http://t.cn/AiHlKieU ,无,无,2019-08-16 14:29,无,0,0,0
I2u2D2BjD,陇南康县发布,陇南康县发布:#5人涉嫌侮辱国旗被香港警方拘捕#【扯国旗扔入海的香港暴徒被捕：4男1女 身份曝光】涉嫌在香港尖沙咀扯下国旗抛入海中的5名暴徒落网！香港警方于14日和15日在九龙新界多区共拘捕5名涉嫌侮辱国旗的男女，其中一名涉案男子名叫周颂轩，是一名装修工人，部分嫌犯有“港独”背景，被通宵扣查。警方介绍，被捕的4男1女，年龄在20岁至22岁之间，其中一男子名为周颂轩（22岁），报称是装修工人。其余4人中，有两人姓洪、一人姓王及一人姓符。嫌犯中大部分有职业，无人是学生身份，但部分人与“港独”组织成员关系密切，他们涉嫌串谋侮辱国旗被扣查，警方在嫌犯住所内检获涉案电脑、电话及一些衣物，待进一步调查。（海外网）http://t.cn/AiHlUqau ,无,无,2019-08-16 14:29 ,iPhone客户端,2,2,0
I2tJ3809N,中国社会报,中国社会报:【人民微评：搞“颜色革命”，别做梦了！】这两天，大量年轻人在社交平台表达守护中国、守护香港的热情。香港多份报纸刊登香港市民发起的联署声明，强烈呼吁止暴治乱。       当暴徒撕下伪装的面具公然行凶，当法治底线、道德底线、人性底线一再被突破，乃至露出恐怖主义的苗头。人们受够了，香港受够了！在香港将向恐怖深渊滑落的紧急关头，越来越多的人挺身而出，爱国爱港之情竞相迸发。       暴力肆虐，天怒人怨。那些举着“自由”“民主”幌子的乱港分子，把香港年轻人当“工具”、做“炮灰”，却让自己的孩子走开，却潇洒地宣布已出国留学，用心何其险恶！       如此这般暴行，注定不得人心，注定将被正义的潮头扑灭。有包括750万香港同胞在内的14亿中华儿女在，反中乱港、搞“颜色革命”，你们别做梦了！http://t.cn/AiH0IJVM ,无,无,2019-08-16 13:41 ,360安全浏览器,3,0,0
I2tJ2eFW2,湘水楚风聊家居美食历史,湘水楚风聊家居美食历史:香港特区政府宣布支持企业和市民的措施 香港特区政府宣布支持企业和市民的措施  ,无,无,2019-08-16 13:41 ,分享按钮,1,0,0
I2tJ2cMpx,西北一姐520,西北一姐520:朴湖一村路口   一个小时前的车祸香港是中国的   永远都是 温州  显示地图 [组图共4张] 原图 ,无,无,2019-08-16 13:41 ,iPhone客户端,1,0,0
I2tJ1lmCe,CelticsBoston-Y,CelticsBoston-Y:李嘉诚今天买下所有香港报纸头条，反对暴力事件，主张和平解决问题。是审时度势后，做出的合理决定，择时能力一流，对于股市的启迪意义来说，就是择时，在一个下降趋势的尾声买入，博接下来的上升趋势，在转折点之前，保持耐心，转折点来了，不遗余力的干。  ,无,无,2019-08-16 13:41 ,iPhone XS Max,0,0,0
I2tJ15RP8,甜度漫天星际,甜度漫天星际:#驻英大使记者会播香港局势短片#𝗜 𝗹𝗼𝘃𝗲 𝗖𝗵𝗶𝗻𝗮 🇨🇳 𝙃𝙤𝙣𝙜 𝙆𝙤𝙣𝙜 𝙞𝙨 𝙥𝙖𝙧𝙩 𝙤𝙛 𝘾𝙝𝙞𝙣𝙖 𝙛𝙤𝙧𝙚𝙫𝙚𝙧🇨🇳香港永遠是中國的一部份🇨🇳  ,无,无,2019-08-16 13:41 ,iPhone 6s,3,0,0
I2tJ0sEBl,AH涵啊,AH涵啊:#香港永远是中国的一部分#𝙃𝙤𝙣𝙜 𝙆𝙤𝙣𝙜 𝙞𝙨 𝙥𝙖𝙧𝙩 𝙤𝙛 𝘾𝙝𝙞𝙣𝙖 𝙛𝙤𝙧𝙚𝙫𝙚𝙧🇨🇳 ,无,无,2019-08-16 13:41 ,HUAWEI P20,1,0,0
I2tJ0b11Q,巧克力上瘾患者,巧克力上瘾患者:8.10-8.14 香港自由行后记来啦😏  [组图共9张] 原图 ,无,无,2019-08-16 13:41 ,HUAWEI P20,1,0,0
I2tJ3809N,中国社会报,中国社会报:【人民微评：搞“颜色革命”，别做梦了！】这两天，大量年轻人在社交平台表达守护中国、守护香港的热情。香港多份报纸刊登香港市民发起的联署声明，强烈呼吁止暴治乱。       当暴徒撕下伪装的面具公然行凶，当法治底线、道德底线、人性底线一再被突破，乃至露出恐怖主义的苗头。人们受够了，香港受够了！在香港将向恐怖深渊滑落的紧急关头，越来越多的人挺身而出，爱国爱港之情竞相迸发。       暴力肆虐，天怒人怨。那些举着“自由”“民主”幌子的乱港分子，把香港年轻人当“工具”、做“炮灰”，却让自己的孩子走开，却潇洒地宣布已出国留学，用心何其险恶！       如此这般暴行，注定不得人心，注定将被正义的潮头扑灭。有包括750万香港同胞在内的14亿中华儿女在，反中乱港、搞“颜色革命”，你们别做梦了！http://t.cn/AiH0IJVM ,无,无,2019-08-16 13:41 ,360安全浏览器,3,0,0
I2tJ2wk1i,快乐鹅,快乐鹅:pyq看来的哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈香港废青在阿德莱德大学闹事: hk stay strong中国留学生直接教做人: cmnb#守护全世界最好的阿中##香港是中国香港# http://t.cn/AiHlOOxm  ,无,无,2019-08-16 13:41 ,微博视频,44,1,28
I2tIYmYeN,凯迪拉克还是3系,凯迪拉克还是3系:#驻英大使记者会播香港局势短片#       那些说爱中国的人，又有多少是真的在爱，用自己的身体和行动？好多女人点了赞，但是连黑人都搞，可怕的是那些女人一边说爱中国，一边又招呼洋垃圾。  ,无,无,2019-08-16 13:41 ,华为手机 畅享玩不停,1,0,0
I2tIXc2d0,雨田错,雨田错:#香港是中国的香港#香港，是中国的地方！#寒战#  军武季的微博视频  ,无,无,2019-08-16 13:41 ,小米6 拍人更美,0,0,0
I2tIWAlJ8,矣言,矣言:港媒登“一个香港市民 李嘉诚”广告声明反对暴力 港媒登“一个香港市民 李嘉诚”广告声明反对暴力  ,无,无,2019-08-16 13:41 ,分享按钮,0,0,0
I2tIWBaKo,隆诗小尼玛,"隆诗小尼玛:一香港市民致信媒体:""反送中""竟影响到我...  http://t.cn/AiYlAc4k  ",无,无,2019-08-16 13:41 ,iPhone客户端,0,0,0
I2tIWBaMW,傲娇的Queen吖,傲娇的Queen吖:#香港永远是中国的一部分#  对对对，就是这个！ 上海·卢湾区体育中心(建国西路)  显示地图 原图 ,无,#香港永远是中国的一部分#,2019-08-16 13:41 ,iPhone客户端,0,0,0
I2tIWjwoD,张大瑄-,张大瑄-:阿德🐂🍺#我也支持香港警察# 澳大利亚·阿德莱德 http://t.cn/AiHlOazC  显示地图 ,无,http://t.cn/AiHlOazC,2019-08-16 13:41 ,微博视频,4,0,2
I2tIWiHKd,SunwerBlue_,SunwerBlue_:你说好不好笑#香港各界支持止暴制乱#  [组图共2张] 原图 ,无,无,2019-08-16 13:41 ,HUAWEI Mate 9,12,0,0
I2tIW42d8,蠢蠢钟意,蠢蠢钟意:说唱歌手爆音用Freestyle Diss香港废青#香港是中国的香港##我也支持香港警察##香港永远是中国的一部分# 蠢蠢钟意的微博视频  ,无,无,2019-08-16 13:41 ,微博视频,28,2,0
I2tIVrW35,道点实讯,道点实讯:据CCN消息，近日，Fundstrat联合创始人Thomas Lee接受采访时表示，比特币实际上是一种避险资产，他指出，在动荡的市场，比特币为领先的加密货币支付的溢价。事实上，彭博社最近的报道透露，比特币价格在阿根廷和中国香港分别获得10%和4%的溢价。Lee指出，“我认为，到今年年底，比特币价格将大幅上升，并有可能创下历史新高。我认为，任何人想要将2%或1%的比特币作为对冲，以防范许多可能出错的事情，这是一个明智的选择。” ,无,无,2019-08-16 13:41 ,微博 weibo.com,0,0,0
I2tIVrXfG,请不要再模仿你爹,请不要再模仿你爹:#香港是中国的一部分# 困扰了我一天的问题 果然99.999999999999%时候还是权威是对的  [组图共2张] 原图 ,无,无,2019-08-16 13:41 ,iPhone,1,1,2
I2tIYFqLT,你还小不要搞这种东西-,你还小不要搞这种东西-:𝗜 𝗹𝗼𝘃𝗲 𝗖𝗵𝗶𝗻𝗮 🇨🇳 𝙃𝙤𝙣𝙜 𝙆𝙤𝙣𝙜 𝙞𝙨 𝙥𝙖𝙧𝙩 𝙤𝙛 𝘾𝙝𝙞𝙣𝙖 𝙛𝙤𝙧𝙚𝙫𝙚𝙧🇨🇳#14亿人撑香港#  原图 ,无,无,2019-08-16 13:41 ,iPhone客户端,1,0,0
I2tIYmYeN,凯迪拉克还是3系,凯迪拉克还是3系:#驻英大使记者会播香港局势短片#       那些说爱中国的人，又有多少是真的在爱，用自己的身体和行动？好多女人点了赞，但是连黑人都搞，可怕的是那些女人一边说爱中国，一边又招呼洋垃圾。  ,无,无,2019-08-16 13:41 ,华为手机 畅享玩不停,1,0,0
I2tIYmZQm,健康快乐琪6666,健康快乐琪6666:#5人涉嫌侮辱国旗被香港警方拘捕#严惩不贷  ,无,无,2019-08-16 13:41 ,HUAWEI nova 青春版,0,0,0
I2tIXc2d0,雨田错,雨田错:#香港是中国的香港#香港，是中国的地方！#寒战#  军武季的微博视频  ,无,无,2019-08-16 13:41 ,小米6 拍人更美,0,0,0
I2tIWBaMW,傲娇的Queen吖,傲娇的Queen吖:#香港永远是中国的一部分#  对对对，就是这个！ 上海·卢湾区体育中心(建国西路)  显示地图 原图 ,无,#香港永远是中国的一部分#,2019-08-16 13:41 ,iPhone客户端,0,0,0
I2tIWBaKo,隆诗小尼玛,"隆诗小尼玛:一香港市民致信媒体:""反送中""竟影响到我...  http://t.cn/AiYlAc4k  ",无,无,2019-08-16 13:41 ,iPhone客户端,0,0,0
I2tIR1Nz8,小燕子麻麻爱穿花衣,小燕子麻麻爱穿花衣:#我也支持香港警察# 常州  显示地图 ,无,#我也支持香港警察#,2019-08-16 13:40 ,HUAWEI Mate 20 Pro,0,0,0
I2tIPwQoK,快人快语的说客,快人快语的说客:我在看：【李嘉诚寄语香港青年：莫让今日激情 成明日遗憾】#跟新浪看热点#  李嘉诚寄语香港青年：莫让今日激情 成明日遗憾  ,无,无,2019-08-16 13:40 ,新浪新闻客户端,0,0,0
I2tIOC2v4,王子异请和我结婚吧,王子异请和我结婚吧:#5人涉嫌侮辱国旗被香港警方拘捕#亲亲 这边建议直接让他们原地爆炸  ,无,无,2019-08-16 13:40 ,荣耀V9 我想要的快,1,0,0
I2tITDAb3,强哥是个兵,强哥是个兵:#反暴力护香港#重拳出击，打击暴力  原图 ,无,无,2019-08-16 13:41 ,iPhone客户端,8,0,0
I2tITl8aw,神顏小哥,神顏小哥:我分享了香港文匯網的微博视频  ,无,无,2019-08-16 13:41 ,iPad客户端,1,0,0
I2tISvTK1,红色军火商,红色军火商:狗东西李嘉诚登报摘瓜，打哑谜没安好心，钱到手转移海外，留香港一地鸡毛。  ,无,无,2019-08-16 13:41 ,迎风破浪的iPhone客户端,39,9,9
I2tISabeM,一颗摇滚的苹果,一颗摇滚的苹果:现在还用地域黑真的是low到爆炸 前一脚看不起废青 后一脚就嘲讽河南 也真的是🐂🍺 这么能喷 怎么不把你发射到香港光复中华  ,无,无,2019-08-16 13:41 ,iPhone客户端,0,0,1
I2tIR1Nz8,小燕子麻麻爱穿花衣,小燕子麻麻爱穿花衣:#我也支持香港警察# 常州  显示地图 ,无,#我也支持香港警察#,2019-08-16 13:40 ,HUAWEI Mate 20 Pro,0,0,0
I2tIPwQoK,快人快语的说客,快人快语的说客:我在看：【李嘉诚寄语香港青年：莫让今日激情 成明日遗憾】#跟新浪看热点#  李嘉诚寄语香港青年：莫让今日激情 成明日遗憾  ,无,无,2019-08-16 13:40 ,新浪新闻客户端,0,0,0
I2tIOC2v4,王子异请和我结婚吧,王子异请和我结婚吧:#5人涉嫌侮辱国旗被香港警方拘捕#亲亲 这边建议直接让他们原地爆炸  ,无,无,2019-08-16 13:40 ,荣耀V9 我想要的快,1,0,0
I2tIOC2v4,王子异请和我结婚吧,王子异请和我结婚吧:#5人涉嫌侮辱国旗被香港警方拘捕#亲亲 这边建议直接让他们原地爆炸  ,无,无,2019-08-16 13:40 ,荣耀V9 我想要的快,1,0,0
I2tIO5N5F,至美宣言,至美宣言:《一纸禁制令，助香港机场平乱，为什么其他地方不申请？》14日，香港机管局取得高等法院颁发的临时禁制令，禁止任何人在机场内非法阻碍或干扰机场运作。http://t.cn/AiHlO5E3  原图 ,无,无,2019-08-16 13:40 ,百度App,0,0,0
I2tIN9rri,何事喧嚷,何事喧嚷:#李嘉诚发声#所以说李嘉诚拿着香港人民的钱来资助内地大学@汕头大学论坛 ，我天，这会不会引起战争  ,无,无,2019-08-16 13:40 ,OPPO智能手机,3,0,0
I2tIMg7EY,野生偶像落星女士,"野生偶像落星女士:一群为香港奉献出青春和热爱的人们，居然要从一群占尽香港便宜，什么都没为她做，却叫嚣""我的香港""的废物垃圾手里保卫香港。强烈建议用古代的酷刑对付港独废青。他们不配谈人权。毕竟他们不是人。#港独必死#  ",无,无,2019-08-16 13:40 ,OnePlus 5T,2,0,0
I2tIMgYA5,赛博尔坦星人,赛博尔坦星人:感觉2019年是疯年，都疯了，网络上疯的就更加了，香港那边就是肉人疯了，都疯了……  ,无,无,2019-08-16 13:40,无,0,0,0
I2tIKw821,荆楚老杜,荆楚老杜:#股票[超话]# #A股[超话]# #股市[超话]# #今日看盘[超话]# #股市早盘[超话]# #微博股票[超话]# 为什么大盘迟迟冲不上去？其实成交量是关键。不放量直接冲2850，看起来点位合格，但量能不配合的话冲上去反而不好。这个位置是强压力，多空双方的交战点。真有心做行情的话应该要放量。当然了，香港恒生指数和外围走好的话A股也会冲，但需要的是更靠谱的 原图 ,无,无,2019-08-16 13:40 ,微博 weibo.com,0,0,0
I2tICvb6g,腾哥的小媛,腾哥的小媛:#我们都有一个爱豆名字叫阿中#爱中国，我也支持香港警察! 郑州  显示地图 ,无,#我们都有一个爱豆名字叫阿中#,2019-08-16 13:40 ,vivo S1照亮你的美,0,0,0
I2tIBCJuR,江南书生战沙场,江南书生战沙场:港渣在墨尔本，结果国骂出场#煽动罢课的港独头子开学了##饭圈女孩# #饭圈女孩出征# #香港机场恢复正常运作# 江南书生战沙场的微博视频  ,无,无,2019-08-16 13:40 ,微博视频,136,30,35
I2tIBnooW,此号只为大娟,此号只为大娟:#驻英大使记者会播香港局势短片#请让我们知道，西方媒体记者在看到以前看不到的画面，听到以前听不到的声音之后的表现。我们好做好准备，是少许国家要刁难我们，还是有很多国家要刁难我们。  ,无,无,2019-08-16 13:40 ,iPhone 6s,6,0,1
I2tIBnmOi,吉林台郝峰,吉林台郝峰:#李嘉诚登广告声明反对暴力##一个香港市民李嘉诚#  多家港媒登“一个香港市民 李嘉诚” 广告声明反对暴力港媒登“一个香港市民 李嘉诚”广告声明反对暴力  原图 ,无,无,2019-08-16 13:40,无,0,0,0
I2tIBkd7K,玉之缘翡翠-吴松,玉之缘翡翠-吴松:#5人涉嫌侮辱国旗被香港警方拘捕#国旗是代表一个国家的旗帜，代表国家的主权和尊严，港独份子侮辱国旗就是侮辱中国的主权和尊严，这是14亿人民不能容忍的，必须绳之以法，严惩不贷。 揭阳  显示地图 ,无,#5人涉嫌侮辱国旗被香港警方拘捕#,2019-08-16 13:40 ,玉之缘iPhone客户端,10,0,11
I2tII8sDc,智合同,智合同:#驻英大使记者会播香港局势短片# 让世界知道，香港是中国的一部分！香港永远和中国连在一起！（转）  原图 ,无,无,2019-08-16 13:40 ,微博 weibo.com,2,0,0
I2tIHf7Vs,车若水,车若水:十几年没跟法律正经打过交道了吧，上学时也没当过学霸，每每望着厚厚的法条只能叹息。毕业后更是相隔十万八千里。期待更好的世界也每一天为更好努力着，偶遇不公虽力有绵薄，也尽力去帮助改变些微。这次香港事件看到内地一些人穿着有识的衣服举着正义的旗子，说些于法不通，于理不容的话还得人追捧，还真是让人难过。老夫聊发少年狂，见着了还是忍不住讲讲理啊。#一个中国# 原图 ,无,无,2019-08-16 13:40 ,iPhone客户端,0,1,0
I2tIEAjM6,this_way527,this_way527:我围观了@褚明宇 的回答，该问题价值2198.00元，围观仅1元，快来一起围观~ <br />微博问答:褚老师，能聊聊您眼中的港灿废青以及香港的未来吗? 李嘉诚等巨头、港府、废青...谁该为这种局面担责？  ,无,无,2019-08-16 13:40 ,微博问答,0,0,0
I2tIDF2jA,Gilrlene,Gilrlene:#香港机场恢复正常运作#他们的电视剧不是都在演，我们是中国人，不是东亚病夫吗。  ,无,无,2019-08-16 13:40 ,微博搜索,1,0,0
I2tICvb6g,腾哥的小媛,腾哥的小媛:#我们都有一个爱豆名字叫阿中#爱中国，我也支持香港警察! 郑州  显示地图 ,无,#我们都有一个爱豆名字叫阿中#,2019-08-16 13:40 ,vivo S1照亮你的美,0,0,0
I2tIBCJuR,江南书生战沙场,江南书生战沙场:港渣在墨尔本，结果国骂出场#煽动罢课的港独头子开学了##饭圈女孩# #饭圈女孩出征# #香港机场恢复正常运作# 江南书生战沙场的微博视频  ,无,无,2019-08-16 13:40 ,微博视频,136,30,35
I2tIBnooW,此号只为大娟,此号只为大娟:#驻英大使记者会播香港局势短片#请让我们知道，西方媒体记者在看到以前看不到的画面，听到以前听不到的声音之后的表现。我们好做好准备，是少许国家要刁难我们，还是有很多国家要刁难我们。  ,无,无,2019-08-16 13:40 ,iPhone 6s,6,0,1
I2tIBnmOi,吉林台郝峰,吉林台郝峰:#李嘉诚登广告声明反对暴力##一个香港市民李嘉诚#  多家港媒登“一个香港市民 李嘉诚” 广告声明反对暴力港媒登“一个香港市民 李嘉诚”广告声明反对暴力  原图 ,无,无,2019-08-16 13:40,无,0,0,0
I2tIBkd7K,玉之缘翡翠-吴松,玉之缘翡翠-吴松:#5人涉嫌侮辱国旗被香港警方拘捕#国旗是代表一个国家的旗帜，代表国家的主权和尊严，港独份子侮辱国旗就是侮辱中国的主权和尊严，这是14亿人民不能容忍的，必须绳之以法，严惩不贷。 揭阳  显示地图 ,无,#5人涉嫌侮辱国旗被香港警方拘捕#,2019-08-16 13:40 ,玉之缘iPhone客户端,10,0,11
I2tIA9hyl,每日搬砖日记,每日搬砖日记:#亚马逊回应T恤事件#赶紧倒闭吧，现在出来bb啥呢？#5人涉嫌侮辱国旗被香港警方拘捕# 才5人？莫不是在逗我们？  ,无,无,2019-08-16 13:40 ,OPPO Find X,4,0,0
I2tIyEh1Y,迷你厨房头条,迷你厨房头条:为霸气女儿点赞！我妈妈不扫街，你们能有干净路吗#香港示威者群殴游客至昏迷##付国豪# 关注我  不迷路  迷你厨房头条的微博视频  ,无,无,2019-08-16 13:40 ,微博视频,171,4,5
I2tIwA05w,Cissy宁,Cissy宁:#5人涉嫌侮辱国旗被香港警方拘捕# 必须抓 龙岩  显示地图 ,无,#5人涉嫌侮辱国旗被香港警方拘捕#,2019-08-16 13:40 ,iPhone客户端,0,0,0
I2tIvpVnR,Wyx_哈哈哈,Wyx_哈哈哈:#香港永远是中国的一部分# 济南  显示地图 原图 ,无,#香港永远是中国的一部分#,2019-08-16 13:40 ,iPhone客户端,1,0,0
I2tIkwtU7,是有酒窝的园子姐姐耶,是有酒窝的园子姐姐耶:为你痴为你狂为你哐哐撞大墙#我也支持香港警察# 南阳·时代广场  显示地图 [组图共2张] 原图 ,无,无,2019-08-16 13:39 ,iPhone客户端,2,0,0
I2tIj0ydr,張張張不甜啦,張張張不甜啦:当 饭圈兄弟姐妹儿 遇到 我爱中国从此便有了一群 爱中 群体饭圈出征 寸草不生 这次我可以站饭圈文化𝗜 𝗹𝗼𝘃𝗲 𝗖𝗵𝗶𝗻𝗮 🇨🇳 𝙃𝙤𝙣𝙜 𝙆𝙤𝙣𝙜 𝙞𝙨 𝙥𝙖𝙧𝙩 𝙤𝙛 𝘾𝙝𝙞𝙣𝙖 𝙛𝙤𝙧𝙚𝙫𝙚𝙧🇨🇳#我爱中国##香港永远是中国的一部分# [组图共2张] 原图 ,无,无,2019-08-16 13:39 ,辣敷敷的iPhone客户端,4,0,0
I2tIs9PrH,M110LOVE220H,M110LOVE220H:好样的！王嘉尔发爱国微博遭香港粉丝攻击，演唱会把国旗披身上 http://t.cn/Aip7bYcX  ,无,无,2019-08-16 13:39 ,分享按钮,0,0,0
I2tIs9OGN,我是常识君,我是常识君:#香港是中国的香港#  ,无,无,2019-08-16 13:39 ,荣耀9 美得有声有色,0,0,0
I2tIry9fb,唯爱鸿啊,唯爱鸿啊:#5人涉嫌侮辱国旗被香港警方拘捕#国旗是中国的象征，绝对不允许他人随意侮辱的！中国是我们的家我们要共同守护我们的家园！希望那些支持港独的能早日明白香港是中国不可分割的一部分！  ,无,无,2019-08-16 13:39 ,前后2000万 OPPO R11,1,0,0
I2tIrA9rJ,儒家公羊学,儒家公羊学:哈哈哈，孔子所说：“危邦不入，乱邦不居”，在李嘉诚身上体现的淋漓尽致。《南齐书·王敬则传》：“檀公三十六策，走是上计，汝父子唯应急走耳。”通过李嘉诚其人，可以了解到中国传统文化中蕴含的大智慧。对于为何刊登两个不同广告？李氏表示，基于目前香港形势复杂，难以用单一语言或沟通方法回应，“应以何身得度者，即现何身而为之说法”。纵横捭阖，睥睨天下，左右逢源！ [组图共2张] 原图 ,无,无,2019-08-16 13:39 ,红米Redmi,32,23,23
I2tIrAZzm,无锡新周刊,"无锡新周刊:#法籍蜘蛛侠现身中环# 【港媒：法籍“蜘蛛侠”现身香港中环，在商厦外墙挂中国国旗和香港特别行政区区旗】据香港东网16日报道，一名身手敏捷的法国籍""蜘蛛侠""，今早(16日)8时14分，被发现到位于香港中环的长江集团中心沿外墙攀爬，并且在低层位置挂上一条印有中国国旗及香港特别行政区区旗图案的旗帜，旗帜下方有两只手互握的图案。警方及消防到场后，在地面放置救生气垫，而法籍男子则沿外墙爬上顶楼，最后由警员带走调查。现场有消息称，该名法籍汉疑为绰号""蜘蛛侠""的法国攀爬专家罗伯特(Alain Robert)。http://t.cn/AiHl9wi6 http://t.cn/AiHl9Lee @环视频 ",无,无,2019-08-16 13:39 ,iPhone客户端,5,0,1
I2tIgCfDn,李振宁家的芒果,李振宁家的芒果:#反暴力护香港#加油香港，中国🇨🇳加油。。。。。。。  原图 ,无,无,2019-08-16 13:39 ,HUAWEI P30 Pro,7,0,0
I2tIftjRZ,毫毫者,毫毫者:香港24小时 | 香港8月15日发生了什么？一文速览 香港24小时 | 香港8月15日发生了什么？一文速览  ,无,无,2019-08-16 13:39 ,分享按钮,0,0,0
I2tIkwtU7,是有酒窝的园子姐姐耶,是有酒窝的园子姐姐耶:为你痴为你狂为你哐哐撞大墙#我也支持香港警察# 南阳·时代广场  显示地图 [组图共2张] 原图 ,无,无,2019-08-16 13:39 ,iPhone客户端,2,0,0
I2tIj0ydr,張張張不甜啦,張張張不甜啦:当 饭圈兄弟姐妹儿 遇到 我爱中国从此便有了一群 爱中 群体饭圈出征 寸草不生 这次我可以站饭圈文化𝗜 𝗹𝗼𝘃𝗲 𝗖𝗵𝗶𝗻𝗮 🇨🇳 𝙃𝙤𝙣𝙜 𝙆𝙤𝙣𝙜 𝙞𝙨 𝙥𝙖𝙧𝙩 𝙤𝙛 𝘾𝙝𝙞𝙣𝙖 𝙛𝙤𝙧𝙚𝙫𝙚𝙧🇨🇳#我爱中国##香港永远是中国的一部分# [组图共2张] 原图 ,无,无,2019-08-16 13:39 ,辣敷敷的iPhone客户端,4,0,0
I2tIgCfDn,李振宁家的芒果,李振宁家的芒果:#反暴力护香港#加油香港，中国🇨🇳加油。。。。。。。  原图 ,无,无,2019-08-16 13:39 ,HUAWEI P30 Pro,7,0,0
I2tIftjRZ,毫毫者,毫毫者:香港24小时 | 香港8月15日发生了什么？一文速览 香港24小时 | 香港8月15日发生了什么？一文速览  ,无,无,2019-08-16 13:39 ,分享按钮,0,0,0
